county_fips,county_name,state,centroid_lat,centroid_lon,eligible_population,poverty_pct,rurality_index,high_risk_index
37155,Robeson County,NC,34.63921,-79.100881,17488,27.228705,0.94726,0.51686
37157,Rockingham County,NC,36.381806,-79.782754,16654,16.280102,0.9293,0.416764
37159,Rowan County,NC,35.641355,-80.521721,24145,15.993562,0.870116,0.400401
37161,Rutherford County,NC,35.402747,-81.919582,11737,16.750432,0.951162,0.290798
37163,Sampson County,NC,34.989298,-78.371261,9200,21.817464,0.974806,0.266449
37165,Scotland County,NC,34.840023,-79.477337,5235,25.811818,0.955521,0.74083
37167,Stanly County,NC,35.310449,-80.254374,10309,15.24688,0.928953,0.323231
37169,Stokes County,NC,36.393797,-80.269921,8668,11.166941,0.957701,0.249162
37171,Surry County,NC,36.415416,-80.686463,12314,16.817607,0.942397,0.267481
37173,Swain County,NC,35.568849,-83.465614,2462,19.107812,0.99133,0.410277
37175,Transylvania County,NC,35.210103,-82.816666,6659,13.209106,0.962895,0.251415
37177,Tyrrell County,NC,35.87042,-76.165345,531,18.708389,0.999427,0.736383
37179,Union County,NC,34.99182,-80.530426,36133,7.682656,0.822943,0.07761
37181,Vance County,NC,36.365481,-78.405434,7135,19.791021,0.927115,0.525079
37183,Wake County,NC,35.789846,-78.650624,161171,8.129155,0.360827,0.236736
37185,Warren County,NC,36.398105,-78.099899,3612,21.104863,0.983496,0.491845
37187,Washington County,NC,35.844713,-76.572291,2300,24.069479,0.989215,1.0
37189,Watauga County,NC,36.235368,-81.709888,7463,25.454882,0.923135,0.235812
37191,Wayne County,NC,35.35419,-78.00867,17888,17.334577,0.905946,0.429707
37193,Wilkes County,NC,36.208883,-81.166095,11424,16.728066,0.963605,0.345493
37195,Wilson County,NC,35.700357,-77.921598,13059,19.796154,0.90526,0.44388
37197,Yadkin County,NC,36.158765,-80.665164,6598,13.978495,0.952368,0.297333
37199,Yancey County,NC,35.889326,-82.303954,3642,15.170826,0.976051,0.255994
