tract_geoid,county_fips,tract_name,land_area_sqmi,centroid_lat,centroid_lon,name,total_population,female_50_54,female_55_59,female_60_61,female_62_64,female_65_66,female_67_69,female_70_74,population_below_poverty,poverty_universe,households_no_vehicle,households_vehicle_universe,state,county,tract,eligible_population,poverty_pct,no_vehicle_pct,population_density_per_sqmi
37001020100,37001,,1.742,36.0914774,-79.4455986,Census Tract 201; Alamance County; North Carolina,4222,99,263,57,49,19,108,119,1066,4219,325,2052,NC,001,020100,714,25.26665086513392,15.838206627680313,2423.650975889782
37093970402,37093,,36.012,34.8906225,-79.2356703,Census Tract 9704.02; Hoke County; North Carolina,2701,83,155,10,36,14,20,61,562,2687,78,971,NC,093,970402,379,20.915519166356532,8.032955715756952,75.0027768521604
37093980100,37093,,139.374,35.119311,-79.2310792,Census Tract 9801; Hoke County; North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,NC,093,980100,0,,,0.0
37095920101,37095,,275.071,35.5791213,-76.0944931,Census Tract 9201.01; Hyde County; North Carolina,2078,68,99,61,100,12,74,16,530,2078,142,1037,NC,095,920101,430,25.505293551491818,13.69334619093539,7.55441322422211
37095920102,37095,,337.271,35.525057,-76.3981415,Census Tract 9201.02; Hyde County; North Carolina,2514,7,27,21,88,84,55,112,337,1831,73,902,NC,095,920102,394,18.405243036592026,8.093126385809313,7.453946529645299
37095990100,37095,,0.0,35.1070011,-75.8812071,Census Tract 9901; Hyde County; North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,NC,095,990100,0,,,
37095990200,37095,,0.0,35.2966564,-76.0239642,Census Tract 9902; Hyde County; North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,NC,095,990200,0,,,
37097060100,37097,,2.733,35.7902418,-80.871839,Census Tract 601; Iredell County; North Carolina,5693,163,135,110,255,54,65,202,1411,5538,285,2643,NC,097,060100,984,25.478512098230407,10.783200908059024,2083.0589096231247
37097060200,37097,,2.481,35.7628534,-80.8731599,Census Tract 602; Iredell County; North Carolina,2359,105,19,0,24,4,24,20,664,2359,97,853,NC,097,060200,196,28.147520135650698,11.371629542790153,950.8262797259171
37097060300,37097,,2.566,35.7646694,-80.896941,Census Tract 603; Iredell County; North Carolina,2776,40,36,46,119,14,28,8,697,2773,109,1066,NC,097,060300,291,25.135232600072126,10.22514071294559,1081.8394388152767
37097060400,37097,,4.816,35.7835005,-80.9222068,Census Tract 604; Iredell County; North Carolina,4502,144,108,77,171,103,43,68,1316,4502,155,1642,NC,097,060400,714,29.231452687694357,9.439707673568819,934.8006644518273
37097060500,37097,,1.775,35.793133,-80.9003531,Census Tract 605; Iredell County; North Carolina,4503,351,231,151,59,15,28,85,430,3980,106,1623,NC,097,060500,920,10.804020100502512,6.531115218730745,2536.9014084507044
37097060601,37097,,4.183,35.7949144,-80.8501803,Census Tract 606.01; Iredell County; North Carolina,6134,258,106,85,52,82,32,163,1041,5802,255,2676,NC,097,060601,778,17.94208893485005,9.52914798206278,1466.4116662682286
37097060602,37097,,3.15,35.7901073,-80.8142041,Census Tract 606.02; Iredell County; North Carolina,2036,56,76,32,27,10,17,120,109,2036,15,821,NC,097,060602,338,5.3536345776031435,1.8270401948842874,646.3492063492064
37097060603,37097,,9.139,35.7489279,-80.8309436,Census Tract 606.03; Iredell County; North Carolina,1500,2,71,6,0,0,31,37,273,1500,23,582,NC,097,060603,147,18.2,3.9518900343642613,164.13174307911152
37097060701,37097,,19.182,35.7626972,-80.7688678,Census Tract 607.01; Iredell County; North Carolina,3625,172,157,9,68,20,68,18,1072,3625,0,1363,NC,097,060701,512,29.572413793103447,0.0,188.9792513815035
37097060702,37097,,28.452,35.8283293,-80.7688395,Census Tract 607.02; Iredell County; North Carolina,4647,228,155,80,74,52,58,90,305,4647,13,1710,NC,097,060702,737,6.563374219926835,0.7602339181286549,163.32770982707717
37097060703,37097,,14.209,35.8624139,-80.8293838,Census Tract 607.03; Iredell County; North Carolina,2928,68,62,33,57,84,71,47,46,2772,10,1061,NC,097,060703,422,1.6594516594516595,0.942507068803016,206.06657752128933
37097060801,37097,,51.643,35.9991529,-80.7588864,Census Tract 608.01; Iredell County; North Carolina,3676,142,170,18,148,66,32,89,554,3652,46,1475,NC,097,060801,665,15.169769989047097,3.1186440677966103,71.18099258369963
37097060802,37097,,42.207,35.9162928,-80.7747628,Census Tract 608.02; Iredell County; North Carolina,3954,105,242,30,35,18,50,52,932,3954,42,1428,NC,097,060802,532,23.57106727364694,2.9411764705882355,93.68114293837515
