candidate_id,candidate_name,county_fips,latitude,longitude,candidate_type,assumption_source,review_notes,review_status
HRSA-HCSD-BPS-LAL-037790,MAHEC at Barnardsville Elementary,37021,35.77549328,-82.45983507,seasonal_fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Seasonal; status=Active; address=20 Hillcrest Dr, Barnardsville, NC, 28709-9712. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-037796,MAHEC at Asheville Middle,37021,35.58554423,-82.56177754,seasonal_fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Seasonal; status=Active; address=211 S French Broad Ave, Asheville, NC, 28801-3901. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-037801,MAHEC at Hall Fletcher Elementary,37021,35.57483094,-82.57500301,seasonal_fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Seasonal; status=Active; address=60 Ridgelawn Rd, Asheville, NC, 28806-4454. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-037802,MAHEC at William Randolph,37021,35.59818636,-82.56098117,seasonal_fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Seasonal; status=Active; address=90 Montford Ave, Asheville, NC, 28801-2530. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-038106,MAHEC Women's Care at Brevard,37175,35.25708358,-82.71127993,fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Permanent; status=Active; address=87 Medical Park Dr, Brevard, NC, 28712. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-038107,MAHEC OB/GYN Specialists Franklin,37113,35.18326002,-83.377976,fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Permanent; status=Active; address=56 Medical Park Dr STE 300, Franklin, NC, 28734-2634. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-038108,MAHEC Dental Health Center at Columbus,37149,35.23780597,-82.2141728,fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Permanent; status=Active; address=130 Forest Glen Rd, Columbus, NC, 28722-3456. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-038210,MAHEC at Madison High School,37115,35.81370263,-82.67385712,seasonal_fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Seasonal; status=Active; address=5740 US-25, Marshall, NC, 28753. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-038212,MAHEC at North Buncombe Elementary School,37021,35.74412975,-82.56929703,seasonal_fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Seasonal; status=Active; address=251 Flat Creek Church Road, Weaverville, NC, 28787-9528. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-038214,AMG - Randolph Rd,37119,35.20548921,-80.81987523,fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Permanent; status=Active; address=2300 Randolph Rd, Charlotte, NC, 28207-1127. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-038217,AMG - N Tryon Rd,37119,35.29693389,-80.7549387,fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Permanent; status=Active; address=7945 N Tryon St STE 112, Charlotte, NC, 28262-3587. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-038218,MAHEC at Weaverville Primary School,37021,35.69487832,-82.56035203,seasonal_fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Seasonal; status=Active; address=39 South Main Street, Weaverville, NC, 28787-8463. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-038219,MAHEC at Valley Springs Middle,37021,35.48287337,-82.54014334,seasonal_fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Seasonal; status=Active; address=224 Long Shoals Road, Arden, NC, 28704. This is not a claim that the site currently provides mammography.",reviewed
