county_fips,county_name,land_area_sqmi,centroid_lat,centroid_lon,name,total_population,female_50_54,female_55_59,female_60_61,female_62_64,female_65_66,female_67_69,female_70_74,population_below_poverty,poverty_universe,households_no_vehicle,households_vehicle_universe,state,county,eligible_population,poverty_pct,no_vehicle_pct,population_density_per_sqmi,rurality_index,high_risk_index
37099,Jackson County,491.11,35.285454,-83.123966,"Jackson County, North Carolina",43771,1220,1558,316,870,420,1036,1347,7132,39610,573,18430,NC,099,6767,18.005554152991667,3.1090613130765057,89.12667223229012,0.962858114219644,0.13673258303534921
37101,Johnston County,792.017,35.513419,-78.367348,"Johnston County, North Carolina",234263,8606,7261,2823,4653,1861,3748,5408,24646,231746,3175,85591,NC,101,34360,10.634919265057434,3.709502167283943,295.7802673427464,0.8688273610989353,0.1839752508136593
37103,Jones County,471.368,35.032268,-77.356195,"Jones County, North Carolina",9302,292,435,125,231,205,249,268,1689,9198,271,4125,NC,103,1805,18.362687540769734,6.569696969696969,19.73405067802651,0.9944328877544575,0.4090152891201903
37105,Lee County,255.072,35.476336,-79.172117,"Lee County, North Carolina",65816,2192,2079,838,1484,862,1081,1652,10663,64724,977,25145,NC,105,10188,16.47456893887893,3.885464307019288,258.0291055074646,0.8860047548754915,0.19781994650820908
37107,Lenoir County,399.087,35.240066,-77.635514,"Lenoir County, North Carolina",54919,1758,2027,841,1232,774,1166,1809,11854,53999,2128,23351,NC,107,9607,21.952258375155097,9.113100081366966,137.6115984735158,0.9407966827355817,0.6091301670286053
37109,Lincoln County,295.851,35.488491,-81.226893,"Lincoln County, North Carolina",92716,3493,3272,1630,2248,1170,1752,2796,10332,91869,1229,36811,NC,109,16361,11.246448747673318,3.3386759392572873,313.38748221232987,0.8608157914300886,0.15479865469867404
37111,McDowell County,439.954,35.682268,-82.048045,"McDowell County, North Carolina",44817,1451,1578,687,1178,615,1111,1235,6447,43538,1150,18638,NC,111,7855,14.807754145803665,6.170189934542333,101.86746796255972,0.9570608445557215,0.37758208799029563
37113,Macon County,515.564,35.152959,-83.421901,"Macon County, North Carolina",37941,1016,1248,824,905,587,1242,1464,4352,37505,1124,18406,NC,113,7286,11.603786161845088,6.106704335542758,73.59125152260438,0.9699269837866021,0.37258704303086687
37115,Madison County,449.615,35.864206,-82.712631,"Madison County, North Carolina",21867,689,643,341,588,217,745,639,2539,20943,378,8342,NC,115,3862,12.123382514443968,4.531287461040518,48.63494322920721,0.9812825107140984,0.2486332922277273
37117,Martin County,456.412,35.847301,-77.119602,"Martin County, North Carolina",21644,733,1092,266,274,543,491,722,4334,21280,813,9502,NC,117,4121,20.366541353383457,8.556093454009682,47.42206602806237,0.9818343896040139,0.5653049028711699
37119,Mecklenburg County,523.612,35.246862,-80.833832,"Mecklenburg County, North Carolina",1154681,38614,34404,13475,18761,11241,14825,20959,117730,1136222,27225,466527,NC,119,152279,10.361531461281334,5.835675105620896,2205.2225693834366,0.0,0.3512624716302236
37121,Mitchell County,221.251,36.013102,-82.163554,"Mitchell County, North Carolina",14992,528,565,153,451,304,390,474,1882,14568,532,6587,NC,121,2865,12.918725974739154,8.076514346439957,67.76014571685552,0.972580231943974,0.5275716335681659
37123,Montgomery County,491.537,35.327548,-79.910752,"Montgomery County, North Carolina",26007,910,985,339,512,491,458,840,3911,25324,506,10643,NC,123,4535,15.443847733375454,4.7542986000187915,52.90954699239325,0.9793374963487295,0.26617980172285455
37125,Moore County,697.627,35.308273,-79.492723,"Moore County, North Carolina",104876,2952,3254,1164,2586,1794,2470,3133,10410,103328,1847,44013,NC,125,17353,10.074713533601734,4.196487401449572,150.33248426451385,0.9350084724184531,0.22229123392742856
37127,Nash County,540.444,35.965945,-77.987555,"Nash County, North Carolina",96216,3209,3906,1395,1768,1340,2008,2860,11175,94393,2677,38797,NC,127,16486,11.838801606051296,6.900018042632162,178.03139640739838,0.922405016049704,0.43500494088939023
37129,New Hanover County,192.225,34.183445,-77.864204,"New Hanover County, North Carolina",235229,7635,7630,3813,4698,3405,4495,6922,28247,229767,5887,104856,NC,129,38598,12.293758459656956,5.614366369115739,1223.716998309273,0.4466010281163745,0.3338499071088583
37131,Northampton County,536.71,36.421774,-77.398352,"Northampton County, North Carolina",16931,525,726,342,439,429,359,694,3469,16436,547,7857,NC,131,3514,21.106108542224387,6.961944762632048,31.54590002049524,0.9890583038338293,0.43987733329749296
37133,Onslow County,762.085,34.763109,-77.499469,"Onslow County, North Carolina",207906,4178,4201,2272,2587,2150,2308,2565,21551,185911,3209,75265,NC,133,20261,11.59210590013501,4.263601939812662,272.81208789045843,0.879278257007888,0.2275718037233784
37135,Orange County,397.543,36.062525,-79.120033,"Orange County, North Carolina",149678,4690,4328,1854,2892,1950,2443,3521,17228,138079,2812,57342,NC,135,21678,12.476915389016433,4.903909874088801,376.5076985382713,0.8320950644807319,0.27795121212448143
37137,Pamlico County,336.515,35.147575,-76.665268,"Pamlico County, North Carolina",12390,368,546,249,316,200,512,475,1756,11590,189,5456,NC,137,2666,15.150992234685074,3.4640762463343107,36.8185667800841,0.986659154542022,0.16466514696852083
37139,Pasquotank County,226.878,36.265199,-76.260691,"Pasquotank County, North Carolina",40834,1069,1226,624,1004,672,687,1097,4224,38261,897,15785,NC,139,6379,11.039962363764669,5.682610072853976,179.98219307292908,0.9215173717793628,0.3392193196014885
37141,Pender County,871.3,34.512556,-77.888106,"Pender County, North Carolina",65550,2185,2285,1025,1315,596,1292,2048,6253,64239,821,25291,NC,141,10746,9.733962234779495,3.246214068245621,75.23241133937795,0.9691802293278656,0.14752375755642191
37143,Perquimans County,247.173,36.180897,-76.403244,"Perquimans County, North Carolina",13244,465,355,305,426,232,495,392,1300,13227,323,5614,NC,143,2670,9.828381341196039,5.75347345920912,53.581904172381286,0.9790315628760182,0.3447948486411323
37145,Person County,392.34,36.386357,-78.965633,"Person County, North Carolina",39542,1406,1531,605,898,800,820,1070,6861,39229,780,16063,NC,145,7130,17.489612276632084,4.855879972607856,100.78503338940715,0.957553369924385,0.27417222096625266
37147,Pitt County,652.366,35.59249,-77.372739,"Pitt County, North Carolina",177193,5077,4982,2105,3148,2121,2392,4177,33915,170955,6699,74533,NC,147,24002,19.838554005440027,8.987965062455556,271.6159333870864,0.8798225267978265,0.5992845476233976
37149,Polk County,237.687,35.277901,-82.167621,"Polk County, North Carolina",19891,664,834,505,543,484,523,839,2741,19564,360,8976,NC,149,4392,14.010427315477408,4.010695187165775,83.68568747975279,0.9653338509409234,0.20767310827241836
37151,Randolph County,782.336,35.709915,-79.806215,"Randolph County, North Carolina",146348,5157,4872,2106,3247,1808,2496,3880,20970,144657,2116,57721,NC,151,23566,14.496360355876314,3.6659101540167356,187.06540412303664,0.9182943953332063,0.18054543256238675
37153,Richmond County,473.689,35.004636,-79.755695,"Richmond County, North Carolina",42344,1346,1333,635,974,660,865,1005,10429,41347,1830,17026,NC,153,6818,25.223111713062618,10.748267355808762,89.39198503659574,0.9627373925705088,0.7377850774450287
37155,Robeson County,947.294,34.63921,-79.100881,"Robeson County, North Carolina",116902,3695,3477,1645,2321,1556,1873,2921,30870,113373,3425,43134,NC,155,17488,27.2287052472811,7.940371864422497,123.40624980206779,0.9472603478520999,0.5168599473073183
37157,Rockingham County,565.642,36.381806,-79.782754,"Rockingham County, North Carolina",92131,3209,3833,1499,2044,1450,2000,2619,14677,90153,2641,39606,NC,157,16654,16.280101605049193,6.668181588648185,162.87864055356567,0.9292997668718639,0.41676405588344984
37159,Rowan County,511.61,35.641355,-80.521721,"Rowan County, North Carolina",149875,5103,5333,2199,3069,1828,2391,4222,23353,146015,3805,58899,NC,159,24145,15.993562305242612,6.4602115485831675,292.947753171361,0.8701162012017077,0.400400979584116
37161,Rutherford County,565.437,35.402747,-81.919582,"Rutherford County, North Carolina",64930,2439,2188,1146,1546,835,1536,2047,10665,63670,1350,26642,NC,161,11737,16.750431914559446,5.067187148112003,114.83153737728517,0.9511619817272078,0.2907978629783911
