county_fips,county_name,state,centroid_lat,centroid_lon,eligible_population,poverty_pct,rurality_index,high_risk_index,population_weight_before,mean_travel_time_minutes_before,p90_travel_time_minutes_before,pct_over_45_minutes_before,travel_time_coverage_before,population_weight_after,mean_travel_time_minutes_after,p90_travel_time_minutes_after,pct_over_45_minutes_after,travel_time_coverage_after,population_nearest_facility_changed,population_newly_over_30_minutes,population_newly_over_45_minutes,population_newly_over_60_minutes,access_metric,mean_travel_time_delta,p90_travel_time_delta,pct_over_threshold_delta,shock_mean_travel_time_component,shock_p90_travel_time_component,shock_threshold_component,deterioration_component,vulnerability_poverty_component,vulnerability_rurality_component,vulnerability_risk_component,vulnerability_component,shock_score,alert_level
37049,Craven County,NC,35.116829,-77.08132,16368,13.699593,0.93733,0.389287,16368.0,20.071833455522974,37.811419483101396,0.03470185728250244,1.0,16368.0,20.071833455522974,37.811419483101396,0.03470185728250244,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4566531,0.93733,0.389287,0.5806463399999999,0.0,NONE
37051,Cumberland County,NC,35.050192,-78.828719,42727,16.699668,0.767354,0.428133,42727.0,13.59389051419477,22.662178913738025,0.0,1.0,42727.0,13.59389051419477,22.662178913738025,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5566555999999999,0.767354,0.428133,0.5813083399999999,0.0,NONE
37053,Currituck County,NC,36.372174,-75.941224,5344,7.503043,0.950249,0.054188,5344.0,42.13743263473054,51.46882926829269,0.34655688622754494,1.0,5344.0,42.13743263473054,51.46882926829269,0.34655688622754494,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25010143333333335,0.950249,0.054188,0.40137167333333335,0.0,NONE
37055,Dare County,NC,35.606269,-75.767536,7809,6.62141,0.958442,0.101944,7809.0,25.738271225509028,39.79453066666667,0.08298117556665387,1.0,7809.0,25.738271225509028,39.79453066666667,0.08298117556665387,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22071366666666667,0.958442,0.101944,0.4064012666666666,0.0,NONE
37057,Davidson County,NC,35.795131,-80.207107,28950,12.847578,0.861102,0.20178,28950.0,15.036168221070811,23.08934232715009,0.0,1.0,28950.0,15.036168221070811,23.08934232715009,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42825260000000004,0.861102,0.20178,0.49016564,0.0,NONE
37059,Davie County,NC,35.929355,-80.542552,7822,9.39493,0.927279,0.368201,7822.0,16.65110201994375,25.920446715328467,0.0,1.0,7822.0,16.65110201994375,25.920446715328467,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3131643333333333,0.927279,0.368201,0.5139097333333332,0.0,NONE
37061,Duplin County,NC,34.934403,-77.933543,7992,20.463423,0.975859,0.349725,7992.0,21.625964714714716,26.670749999999998,0.0,1.0,7992.0,21.625964714714716,26.670749999999998,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6821141,0.975859,0.349725,0.67052084,0.0,NONE
37063,Durham County,NC,36.033828,-78.878125,46508,11.506238,0.477498,0.419725,46508.0,9.435010320805022,15.848211009174316,0.0,1.0,46508.0,9.435010320805022,15.848211009174316,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38354126666666666,0.477498,0.419725,0.4225834066666667,0.0,NONE
37065,Edgecombe County,NC,35.917077,-77.602742,8748,21.732866,0.959538,0.681234,8748.0,12.880081161408322,21.377299145299144,0.0,1.0,8748.0,12.880081161408322,21.377299145299144,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7244288666666667,0.959538,0.681234,0.7820031466666668,0.0,NONE
37067,Forsyth County,NC,36.132466,-80.256961,60900,14.518553,0.568545,0.382272,60900.0,10.140958456486045,16.043562005277046,0.0,1.0,60900.0,10.140958456486045,16.043562005277046,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48395176666666667,0.568545,0.382272,0.4788258066666667,0.0,NONE
37069,Franklin County,NC,36.088247,-78.283082,12343,11.055345,0.93459,0.192722,12343.0,18.08527181398363,23.604876794258374,0.0,1.0,12343.0,18.08527181398363,23.604876794258374,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36851150000000005,0.93459,0.192722,0.4855982,0.0,NONE
